N,P,K,temperature,humidity,ph,rainfall,label,yield
117.12,46.3,39.98,20.04,87.15,6.24,212.78,rice,4.84
107.91,58.23,37.4,26.77,89.85,5.85,186.69,rice,5.49
113.12,47.33,35.87,23.03,86.58,5.64,197.73,rice,3.87
98.11,37.94,37.4,23.54,86.57,6.02,228.0,rice,4.68
109.33,33.01,43.46,21.02,88.79,5.88,241.26,rice,3.73
115.38,34.8,48.77,25.95,91.37,6.32,177.02,rice,5.49
118.46,49.81,37.28,21.25,94.37,6.3,235.7,rice,3.12
117.88,31.7,45.98,21.13,84.97,6.07,225.11,rice,3.48
107.67,40.25,41.89,23.44,94.15,5.97,196.65,rice,3.95
117.34,53.25,44.11,25.86,88.76,6.12,167.56,rice,4.74
86.31,35.04,45.73,20.59,83.17,5.88,192.29,rice,3.47
100.54,33.36,47.7,25.84,83.55,5.57,156.32,rice,4.67
101.4,43.78,45.31,20.67,83.96,6.03,197.57,rice,3.92
94.62,53.64,47.14,24.66,88.61,5.99,246.22,rice,3.85
110.95,42.4,47.62,23.04,85.41,5.81,151.71,rice,4.57
95.47,58.84,46.93,24.23,81.17,6.13,213.51,rice,4.71
93.48,50.61,46.0,26.12,88.45,6.08,247.11,rice,5.32
91.9,33.52,46.25,23.01,89.1,6.37,245.63,rice,5.36
100.0,41.24,45.68,26.55,90.47,5.88,182.22,rice,4.26
99.14,55.1,40.31,20.05,83.09,6.27,154.63,rice,3.28
99.72,52.93,45.36,25.44,84.94,5.56,177.01,rice,3.02
81.34,51.28,44.82,26.74,81.36,6.07,194.28,rice,4.06
94.72,31.52,43.46,21.2,83.84,6.16,214.84,rice,3.35
101.85,43.3,40.92,22.36,92.16,6.03,192.93,rice,4.02
108.73,55.37,43.69,24.39,81.14,5.92,234.35,rice,4.66
119.8,32.14,48.39,25.04,81.48,5.77,163.55,rice,4.4
117.66,36.47,44.55,25.0,94.47,6.31,224.28,rice,3.14
106.56,59.51,49.6,23.98,84.65,6.12,187.67,rice,5.4
117.83,46.96,37.4,21.87,90.33,6.38,172.06,rice,4.43
84.52,44.07,40.81,21.51,80.64,5.6,210.02,rice,4.48
92.19,53.33,40.07,24.65,89.89,6.39,161.34,rice,5.19
85.19,45.37,44.75,21.9,90.26,5.82,156.67,rice,3.64
114.53,51.43,36.39,20.5,84.29,6.1,246.5,rice,4.07
108.38,46.14,41.57,24.83,91.54,6.48,223.34,rice,4.15
114.05,46.56,47.66,20.06,94.26,5.99,207.57,rice,4.97
87.92,53.59,41.77,22.89,85.4,5.91,164.0,rice,5.09
102.38,41.05,46.28,24.5,91.56,6.44,224.13,rice,3.08
110.02,58.73,36.11,23.2,94.23,6.31,196.39,rice,5.32
109.24,52.42,42.36,21.36,94.33,5.61,216.52,rice,4.01
107.51,33.36,36.19,21.5,87.17,6.42,157.9,rice,3.53
92.93,49.02,46.65,22.29,85.88,6.23,169.61,rice,4.07
97.82,47.91,42.79,18.92,56.43,6.96,71.48,wheat,4.13
121.57,40.55,45.75,20.99,67.52,6.5,49.73,wheat,3.9
92.88,55.6,43.23,16.5,62.92,6.34,43.94,wheat,3.85
122.69,41.69,49.44,19.48,60.21,6.66,50.84,wheat,3.67
121.65,52.39,48.93,24.97,64.45,6.82,67.64,wheat,3.37
108.58,40.68,50.86,18.65,68.11,6.95,58.1,wheat,3.02
112.29,49.75,50.74,18.86,54.08,6.96,67.17,wheat,3.92
126.56,59.75,43.32,19.83,57.52,6.19,73.15,wheat,3.44
118.53,45.6,54.22,16.86,58.13,6.11,54.47,wheat,3.29
121.46,59.76,44.09,24.93,62.88,6.76,74.95,wheat,3.02
100.87,44.97,46.97,22.46,53.22,6.4,62.08,wheat,3.44
114.58,44.24,47.9,16.27,59.01,6.17,57.67,wheat,4.55
127.36,54.16,54.24,17.56,53.41,6.03,61.37,wheat,4.14
124.11,46.07,47.95,16.57,50.86,6.48,51.39,wheat,3.23
112.18,53.62,47.98,18.29,60.56,6.4,48.74,wheat,3.01
127.53,40.32,50.76,16.03,69.92,6.43,70.61,wheat,3.26
91.48,54.78,47.44,21.71,54.91,6.51,61.48,wheat,4.72
112.22,45.57,54.11,17.91,59.01,6.37,49.86,wheat,4.71
116.4,42.97,46.65,18.67,59.15,6.05,50.01,wheat,2.81
129.63,52.52,49.62,23.42,53.56,6.4,55.87,wheat,2.79
90.75,52.56,44.12,20.26,51.52,6.32,47.01,wheat,3.05
98.48,45.84,45.42,20.47,61.38,6.91,43.25,wheat,2.51
123.61,47.86,45.79,22.95,53.72,6.33,59.34,wheat,2.52
128.74,59.44,48.36,23.52,55.85,6.55,50.06,wheat,2.93
98.2,59.54,54.27,22.87,52.05,6.29,67.88,wheat,4.77
111.39,41.29,42.89,17.72,51.39,6.52,55.34,wheat,4.18
94.28,59.53,46.48,24.21,56.11,6.79,41.26,wheat,4.79
128.22,59.15,45.75,19.98,69.47,6.2,40.2,wheat,4.84
120.66,48.56,47.2,23.86,55.48,6.69,53.62,wheat,4.16
110.11,47.09,46.35,23.5,51.87,6.7,67.56,wheat,3.64
112.39,49.21,42.33,22.25,56.67,6.35,72.81,wheat,4.16
98.12,46.59,42.8,18.96,55.88,6.47,48.52,wheat,4.78
112.28,50.08,45.7,17.69,52.99,6.43,59.27,wheat,3.23
90.09,52.0,53.33,15.21,61.07,6.24,45.69,wheat,4.12
109.43,49.18,48.47,19.37,53.88,6.16,48.82,wheat,3.74
103.58,54.13,47.55,24.46,65.36,6.43,68.53,wheat,3.97
95.12,56.02,54.93,22.19,65.36,6.73,40.08,wheat,4.34
119.33,50.81,51.03,23.08,55.87,6.59,40.55,wheat,4.95
97.06,50.55,49.21,19.21,57.55,6.98,70.0,wheat,3.17
113.28,55.41,54.19,21.27,53.38,6.78,66.19,wheat,3.17
96.25,50.56,46.7,20.74,54.24,6.9,42.41,wheat,3.82
121.47,45.28,49.32,23.52,58.49,6.61,62.89,wheat,3.07
90.7,44.79,45.5,20.04,55.2,6.72,60.61,wheat,2.7
94.32,45.24,44.47,18.3,66.18,6.82,73.07,wheat,3.19
123.73,48.25,52.77,24.69,55.17,6.02,50.65,wheat,3.53
119.92,53.19,53.24,20.91,50.85,6.57,69.69,wheat,4.72
101.13,52.83,41.67,17.04,62.82,6.9,70.02,wheat,3.18
93.96,41.31,49.46,19.91,59.13,6.8,57.58,wheat,4.43
122.08,57.32,51.76,19.49,52.13,6.25,44.16,wheat,4.89
129.73,41.51,53.68,17.66,50.24,6.57,53.54,wheat,2.65
122.93,59.29,41.9,19.05,68.79,6.95,67.64,wheat,4.99
93.97,42.62,43.87,15.04,62.87,6.88,71.94,wheat,4.15
119.77,52.92,40.87,23.37,69.27,6.74,56.62,wheat,3.85
109.41,50.5,43.82,22.57,64.21,6.43,54.21,wheat,2.75
128.8,53.56,52.2,17.43,64.11,6.69,48.04,wheat,3.48
129.15,57.17,44.91,21.34,56.17,6.27,49.39,wheat,3.34
121.38,58.57,43.03,21.08,62.88,6.19,40.65,wheat,4.42
90.18,53.77,42.69,18.77,55.94,6.13,47.29,wheat,2.5
116.55,54.44,51.74,19.27,69.15,6.85,74.27,wheat,2.54
124.33,44.41,40.43,24.95,68.1,6.84,69.98,wheat,4.3
110.93,52.88,45.79,23.24,61.69,6.42,72.7,wheat,4.85
97.54,54.16,41.82,22.11,54.12,6.34,52.53,wheat,3.9
111.62,46.87,44.0,17.75,54.58,6.0,69.25,wheat,4.52
125.35,41.99,52.99,15.25,61.3,6.3,66.53,wheat,3.47
93.01,42.74,48.57,20.93,62.35,6.3,57.14,wheat,4.5
115.19,51.36,44.08,23.93,63.94,6.57,54.65,wheat,2.83
123.8,47.58,48.12,22.88,64.11,6.61,44.35,wheat,3.74
102.91,56.85,43.97,20.32,63.12,6.46,42.18,wheat,2.72
127.5,41.85,46.93,18.14,58.97,6.6,44.77,wheat,2.6
104.76,46.78,41.57,15.33,55.09,6.19,70.55,wheat,3.39
90.15,45.19,54.94,21.46,50.23,6.0,45.94,wheat,3.94
96.54,47.45,48.12,16.59,69.6,6.67,47.86,wheat,2.71
111.74,56.18,47.24,23.85,66.97,6.16,60.3,wheat,4.02
98.41,55.64,50.26,23.0,67.18,6.71,53.91,wheat,3.93
124.87,52.05,50.99,19.53,52.8,6.01,47.84,wheat,4.2
93.28,51.22,44.72,23.04,60.2,6.49,71.07,wheat,4.12
102.27,53.35,52.1,16.82,69.8,6.8,51.96,wheat,3.57
91.03,48.23,46.94,23.84,57.08,6.95,61.7,wheat,3.94
91.0,48.98,46.52,23.12,63.0,6.25,63.01,wheat,3.94
103.73,55.01,48.89,16.91,52.8,6.26,69.66,wheat,4.87
123.02,49.69,48.52,19.8,60.73,6.68,62.07,wheat,3.77
125.92,52.43,52.92,22.91,58.18,6.08,73.59,wheat,3.75
129.46,56.22,53.26,21.75,59.81,6.79,69.04,wheat,4.9
116.99,44.58,49.6,24.79,59.6,6.86,66.96,wheat,4.52
125.85,53.02,48.55,21.08,68.77,6.39,61.8,wheat,3.3
127.6,52.78,49.83,20.36,68.78,6.05,74.62,wheat,4.12
98.05,48.68,53.05,17.62,68.7,6.06,55.1,wheat,4.74
99.78,48.84,48.97,15.82,67.02,6.16,57.97,wheat,3.97
120.04,51.42,44.58,15.66,62.82,6.26,42.55,wheat,2.9
106.61,50.03,44.36,21.25,59.72,6.38,46.1,wheat,4.32
105.9,57.14,47.58,18.03,52.64,6.7,60.37,wheat,4.81
124.98,43.53,47.13,21.02,59.65,6.66,48.36,wheat,3.2
119.96,47.93,43.64,15.19,51.05,6.37,47.26,wheat,3.34
104.89,51.95,53.96,15.71,59.53,6.16,57.55,wheat,2.55
97.39,40.67,44.15,22.7,51.81,6.72,48.13,wheat,2.54
107.14,41.78,42.78,18.19,66.35,6.4,72.28,wheat,3.76
108.43,43.17,41.45,16.27,63.06,6.05,64.56,wheat,4.07
91.68,53.58,52.78,16.4,50.94,6.61,46.76,wheat,4.07
91.42,45.87,50.18,19.49,51.79,6.8,60.08,wheat,2.55
116.26,55.26,44.92,18.4,56.74,6.44,56.28,wheat,2.73
106.31,48.08,38.57,28.65,66.6,5.88,105.9,maize,4.84
87.44,47.17,44.78,28.98,57.77,6.95,109.59,maize,4.04
88.89,38.01,42.9,24.19,59.64,6.9,69.77,maize,5.61
70.0,42.04,35.76,25.23,61.53,6.97,91.78,maize,5.0
74.88,54.18,36.68,26.46,65.62,5.86,80.94,maize,4.31
86.94,54.01,54.82,24.42,57.67,6.21,59.19,maize,5.78
108.13,38.42,37.11,24.74,64.28,7.0,92.33,maize,5.45
73.36,41.99,40.41,22.6,66.79,5.81,55.07,maize,3.33
94.6,40.6,36.8,27.27,54.1,6.71,79.62,maize,4.22
82.16,53.99,38.51,29.78,59.91,5.81,91.71,maize,3.37
98.9,44.75,47.04,29.77,61.48,6.74,108.29,maize,5.61
80.09,35.11,49.56,29.9,73.91,6.55,108.76,maize,5.2
91.34,47.37,51.42,29.17,55.1,6.3,62.07,maize,3.85
86.02,39.56,50.86,26.82,66.07,6.53,68.44,maize,4.71
72.49,38.4,39.96,28.31,55.27,6.1,106.78,maize,5.53
99.72,45.27,37.21,22.58,66.41,6.15,105.91,maize,4.68
80.62,37.63,45.17,25.47,52.75,6.75,96.56,maize,3.84
70.04,52.42,53.86,22.54,59.8,6.76,65.64,maize,3.85
96.9,47.33,35.07,24.68,50.4,5.82,57.96,maize,3.45
73.97,37.24,41.93,25.75,63.51,6.61,68.17,maize,3.24
74.34,40.04,45.38,24.6,74.13,6.69,85.3,maize,4.52
98.26,48.0,38.08,23.89,52.58,6.4,81.19,maize,4.96
109.73,49.92,45.11,27.0,54.99,6.19,58.77,maize,5.52
87.95,36.91,38.15,22.58,59.89,6.23,102.06,maize,5.56
98.07,36.16,38.03,28.9,58.45,6.35,93.35,maize,5.4
90.28,47.22,41.46,29.37,71.75,5.95,87.71,maize,3.9
106.7,52.13,46.02,25.99,63.82,6.3,66.18,maize,4.81
107.11,46.91,50.01,29.72,58.49,6.77,98.45,maize,3.18
86.63,42.72,49.65,29.48,71.95,6.24,60.97,maize,4.39
89.08,42.4,52.91,29.67,65.42,6.05,102.98,maize,3.82
74.19,49.21,43.49,22.75,69.18,6.39,91.72,maize,4.14
96.67,54.97,37.82,24.7,64.75,6.28,67.64,maize,5.6
107.66,42.56,47.84,27.77,74.01,6.45,69.52,maize,4.34
95.55,49.15,35.71,25.2,65.78,6.92,65.32,maize,4.6
98.27,36.0,42.95,29.53,69.69,6.48,106.14,maize,4.54
79.5,41.89,52.57,29.18,52.25,6.65,99.39,maize,5.59
96.64,38.27,53.05,23.96,70.72,6.98,55.98,maize,5.57
77.95,45.93,44.16,26.52,52.09,6.09,107.46,maize,4.66
75.65,37.57,50.47,24.92,67.29,6.81,103.96,maize,4.17
84.5,39.71,47.37,23.36,59.53,6.59,100.21,maize,3.91
72.56,43.48,53.08,29.54,61.26,6.19,92.24,maize,5.92
95.98,47.27,40.43,28.45,59.55,5.82,57.6,maize,4.21
106.9,47.4,49.79,27.76,60.03,6.04,63.97,maize,5.44
102.94,42.88,44.31,22.58,71.97,6.55,89.38,maize,4.79
84.27,54.75,46.92,25.95,66.71,6.98,73.86,maize,4.41
92.25,45.15,36.59,26.96,54.17,6.04,79.71,maize,4.03
93.49,35.85,42.38,23.42,62.82,6.42,102.78,maize,4.38
72.39,38.51,39.59,23.63,55.86,6.24,85.4,maize,4.71
98.59,39.23,54.89,22.26,55.54,5.81,84.87,maize,4.45
83.04,41.71,37.7,25.44,56.27,5.81,101.83,maize,3.38
106.59,52.65,38.64,28.55,58.76,6.75,79.35,maize,3.86
76.52,35.78,39.98,28.88,63.19,6.64,59.78,maize,5.58
70.21,48.01,46.62,28.64,56.61,5.99,73.09,maize,5.03
101.09,51.67,41.58,25.3,56.23,6.09,105.85,maize,5.27
104.52,44.18,53.81,29.11,73.24,5.82,101.51,maize,4.83
106.27,47.74,41.52,29.97,59.08,6.91,80.92,maize,3.56
92.59,52.09,53.26,27.1,74.92,6.9,73.22,maize,4.03
99.53,49.37,37.42,26.84,63.61,6.28,94.6,maize,4.57
86.11,47.89,39.05,26.48,70.19,6.69,99.42,maize,4.36
83.8,53.04,46.05,27.68,56.1,5.84,69.91,maize,3.01
88.55,35.11,51.26,22.24,69.69,6.51,107.85,maize,4.04
78.33,35.43,35.74,29.73,66.13,6.82,71.8,maize,4.87
101.82,47.33,44.76,24.42,71.54,6.69,80.39,maize,5.2
92.26,47.12,38.46,25.39,69.72,6.67,106.76,maize,3.92
81.18,40.03,52.63,24.19,63.36,5.99,105.07,maize,3.96
104.34,40.18,45.62,23.35,66.82,6.0,104.91,maize,4.75
96.58,38.88,53.93,23.67,65.54,6.62,108.54,maize,3.9
72.2,39.77,36.8,27.23,63.81,6.62,102.56,maize,3.76
99.16,54.5,37.18,29.06,57.14,6.27,92.28,maize,5.71
95.7,40.17,35.21,26.32,55.1,6.84,78.65,maize,5.58
73.7,45.64,37.92,28.23,68.68,6.35,103.67,maize,3.62
79.06,44.55,53.67,28.02,65.8,6.01,88.71,maize,5.0
97.88,42.08,51.04,27.24,54.59,6.67,63.7,maize,5.3
71.65,38.22,39.67,23.43,69.16,6.6,93.72,maize,4.5
94.82,44.75,45.42,27.44,54.94,6.05,102.37,maize,5.58
94.75,50.27,54.43,26.7,54.97,6.26,106.29,maize,3.56
80.16,38.51,47.86,27.29,68.01,5.83,105.9,maize,4.66
86.76,41.2,42.16,27.5,50.43,5.91,79.5,maize,5.2
80.65,36.72,45.22,26.12,56.82,6.72,57.1,maize,3.52
101.21,46.28,53.98,25.49,54.16,6.27,66.52,maize,4.39
90.86,41.82,54.05,23.38,69.08,6.52,56.21,maize,3.09
92.14,36.19,43.98,26.77,64.0,6.24,86.07,maize,3.44
79.57,52.45,35.67,27.07,62.34,6.25,57.36,maize,3.61
70.01,52.86,48.62,26.25,67.95,6.9,88.29,maize,4.6
96.69,39.73,54.98,26.18,57.81,6.43,72.13,maize,5.13
76.13,47.35,41.41,25.96,73.64,6.26,69.61,maize,4.11
76.33,40.33,43.58,28.22,57.9,6.56,73.14,maize,5.28
107.1,45.91,52.05,26.79,66.67,6.24,68.4,maize,4.59
70.19,37.81,42.02,28.26,72.01,6.1,58.22,maize,4.39
89.86,47.08,49.71,28.65,65.26,6.0,73.39,maize,5.62
83.07,51.5,40.5,25.57,55.72,5.8,91.14,maize,3.37
98.25,43.15,44.41,24.32,59.98,5.92,71.88,maize,3.3
78.22,53.15,36.72,25.57,56.75,6.76,67.28,maize,4.5
91.35,53.65,49.21,25.15,73.83,6.04,68.07,maize,4.32
87.28,52.15,36.17,29.0,66.29,6.91,108.51,maize,5.48
82.77,43.75,40.73,23.27,56.08,6.06,98.86,maize,3.63
85.21,51.09,47.18,28.61,61.0,5.87,84.39,maize,4.03
79.25,46.96,38.9,24.58,51.71,6.21,82.45,maize,5.51
100.26,52.17,46.22,27.57,58.7,6.13,61.05,maize,4.68
79.68,42.7,53.42,27.71,61.47,6.49,101.3,maize,3.29
37.22,68.62,81.53,16.79,18.04,6.3,40.04,chickpea,2.35
55.54,73.05,91.39,15.01,20.14,6.39,43.6,chickpea,2.17
41.4,77.38,82.2,23.45,20.57,6.15,58.51,chickpea,2.08
58.78,71.4,94.04,20.47,18.71,6.52,47.33,chickpea,1.76
37.46,66.8,90.75,16.72,18.95,6.12,42.52,chickpea,1.5
57.32,72.06,77.82,16.18,17.22,5.9,52.96,chickpea,1.6
54.99,69.44,82.66,19.14,22.63,6.11,41.1,chickpea,1.5
55.46,70.75,75.18,17.39,16.26,6.87,49.87,chickpea,1.02
37.74,75.28,94.9,17.54,22.98,6.49,54.48,chickpea,1.25
58.85,79.52,84.75,21.96,21.08,7.08,50.85,chickpea,1.43
57.75,76.22,83.06,20.03,16.4,5.8,57.53,chickpea,1.61
39.4,78.9,91.97,21.94,21.81,6.65,41.96,chickpea,2.39
43.2,77.05,91.19,20.67,22.95,6.2,53.23,chickpea,2.35
55.74,77.13,91.79,20.6,23.36,5.74,49.96,chickpea,1.79
48.26,71.64,88.05,21.96,23.09,5.9,34.63,chickpea,2.48
39.96,66.15,89.05,23.37,24.17,7.14,46.62,chickpea,1.62
49.63,77.92,85.09,20.54,20.77,6.76,44.58,chickpea,2.35
52.03,68.01,94.73,15.7,14.6,6.54,44.79,chickpea,1.34
37.95,79.8,89.6,23.36,21.93,6.41,37.34,chickpea,1.52
56.45,75.43,75.57,16.0,16.74,5.58,44.73,chickpea,2.23
48.82,73.99,79.84,22.17,14.14,5.8,33.08,chickpea,1.33
42.96,76.3,83.24,23.24,17.64,6.22,31.31,chickpea,1.51
42.82,70.23,76.48,21.63,21.79,6.62,49.14,chickpea,1.54
56.57,79.18,76.41,15.23,22.72,6.52,51.57,chickpea,1.16
49.3,71.89,90.39,15.41,19.76,5.64,30.97,chickpea,1.67
48.35,73.09,94.7,21.67,18.4,5.81,42.77,chickpea,1.6
59.33,75.03,83.9,17.24,18.23,7.12,44.72,chickpea,1.7
47.67,74.72,90.55,16.54,16.2,5.5,37.93,chickpea,1.27
55.34,75.55,83.1,15.67,23.08,5.96,57.98,chickpea,1.26
43.32,75.44,88.16,18.39,18.1,6.63,46.33,chickpea,2.2
37.3,78.85,76.37,15.93,15.36,6.23,55.69,chickpea,1.69
48.8,77.86,89.99,16.46,23.36,6.08,40.43,chickpea,1.77
45.61,73.43,84.68,23.9,16.42,5.99,55.11,chickpea,1.86
39.99,76.56,94.67,19.05,23.23,6.66,58.42,chickpea,1.58
57.69,74.06,76.27,24.54,16.63,6.2,59.2,chickpea,1.04
58.68,70.34,85.83,18.12,18.16,6.94,40.48,chickpea,1.02
41.3,65.63,78.61,17.25,24.65,5.54,50.93,chickpea,1.59
49.59,67.8,84.95,23.98,19.17,6.24,38.29,chickpea,1.11
57.78,70.0,78.24,19.8,19.04,5.52,51.32,chickpea,1.16
49.92,71.51,83.59,21.91,18.3,5.73,35.19,chickpea,2.28
42.45,74.93,83.78,24.06,14.39,6.31,52.9,chickpea,2.14
54.65,72.22,88.16,19.03,14.54,5.62,59.8,chickpea,2.1
57.32,65.01,79.04,18.55,16.1,7.09,36.11,chickpea,2.29
59.27,78.77,91.25,16.59,16.2,5.85,37.76,chickpea,2.35
54.11,65.9,82.17,17.11,20.93,6.19,56.26,chickpea,2.03
41.83,72.85,76.56,22.65,17.85,5.92,41.9,chickpea,1.95
38.01,77.83,89.69,19.53,24.67,5.85,40.54,chickpea,2.18
44.81,69.41,86.22,23.97,22.34,6.89,31.11,chickpea,2.47
39.32,69.64,90.14,22.9,15.51,7.18,53.05,chickpea,1.47
55.7,74.32,87.53,18.79,17.54,5.53,47.16,chickpea,1.69
37.75,70.35,75.88,18.02,17.93,6.21,41.77,chickpea,2.46
41.84,78.31,80.83,15.06,19.21,6.73,31.81,chickpea,1.83
57.96,67.46,81.36,21.61,20.24,6.83,54.83,chickpea,1.42
57.84,77.94,83.57,23.35,21.54,5.78,39.09,chickpea,1.87
35.57,68.74,85.72,22.31,20.83,5.54,55.36,chickpea,2.16
38.24,70.78,93.02,23.45,16.67,6.45,59.81,chickpea,1.36
46.29,72.02,85.4,15.65,20.61,6.43,42.81,chickpea,1.7
59.61,78.07,89.38,15.02,24.04,6.73,46.87,chickpea,2.08
58.82,78.41,76.75,19.99,20.44,5.92,30.95,chickpea,1.89
48.96,67.73,75.72,17.83,15.25,6.09,42.45,chickpea,1.13
43.94,74.18,93.74,19.44,16.08,7.1,37.17,chickpea,1.36
42.23,75.39,76.43,16.12,19.38,6.99,51.24,chickpea,1.82
36.89,74.92,92.54,18.37,23.73,5.62,31.54,chickpea,1.56
35.98,70.82,89.43,19.41,19.79,5.72,49.74,chickpea,2.39
35.38,69.38,94.53,23.88,19.32,7.09,54.43,chickpea,1.44
42.6,75.42,91.83,21.91,20.47,6.72,31.87,chickpea,1.98
46.13,74.78,90.88,16.2,16.03,5.52,32.88,chickpea,1.85
53.95,68.68,81.03,22.46,24.75,6.64,35.23,chickpea,1.51
39.42,69.55,94.67,18.89,20.23,6.36,49.14,chickpea,1.15
38.21,79.75,75.95,18.6,18.47,7.14,38.75,chickpea,2.14
49.24,73.63,94.55,17.24,22.27,6.22,42.64,chickpea,1.04
55.53,78.01,88.04,22.92,14.38,7.17,58.58,chickpea,1.18
49.72,74.46,77.05,23.83,17.98,5.65,59.0,chickpea,2.28
49.48,71.93,78.15,21.07,18.3,6.24,39.24,chickpea,1.08
57.62,77.04,94.22,17.35,18.1,5.5,47.03,chickpea,1.28
56.82,66.64,93.82,21.83,18.7,7.14,39.18,chickpea,1.91
45.96,71.49,82.31,22.59,22.23,6.09,35.98,chickpea,1.73
44.37,73.82,83.85,15.56,16.14,6.15,46.61,chickpea,1.89
50.43,69.01,79.8,15.57,16.28,6.39,49.62,chickpea,2.26
58.3,69.6,78.67,18.2,23.96,5.74,36.22,chickpea,2.21
39.81,77.66,86.54,20.76,15.68,5.66,53.98,chickpea,2.18
46.07,69.36,84.8,16.26,17.67,6.98,47.89,chickpea,1.75
39.37,76.98,85.62,24.55,14.24,6.29,57.88,chickpea,1.85
56.39,65.06,89.82,22.71,17.46,6.41,56.67,chickpea,1.75
40.95,72.63,78.2,15.88,14.05,6.2,30.52,chickpea,2.19
46.65,76.94,76.7,21.0,23.91,6.09,46.09,chickpea,1.41
40.89,69.15,75.99,17.85,16.42,5.88,56.4,chickpea,1.12
53.13,70.02,75.88,16.64,21.02,5.81,32.69,chickpea,1.53
57.21,78.74,79.56,22.87,14.19,6.91,33.0,chickpea,1.3
41.96,67.45,82.5,23.18,18.1,6.96,56.75,chickpea,1.29
